mmT-miR__KEY,d1338_1_counts,d1338_2_counts,d1338_3_counts,d997_1_counts,d997_2_counts,d997_3_counts,mf1_counts,mf2_counts,mf3_counts,wt1_counts,wt2_counts,wt3_counts
mmT-miR-1941-3p,zero,zero,zero,zero,zero,zero,3,51,9,1,6,1
mmT-miR-1941-5p,zero,zero,zero,zero,zero,zero,3,22,11,1,4,1
mmT-miR-194-2-3p,zero,zero,zero,zero,zero,zero,40,214,59,11,17,6
mmT-miR-1943-3p,zero,zero,zero,zero,zero,zero,8,36,16,3,3,zero
mmT-miR-1945,zero,zero,zero,zero,zero,zero,11,81,23,14,6,1
mmT-miR-1946b,zero,zero,zero,zero,zero,zero,1,2,zero,zero,zero,zero
mmT-miR-1947-5p,zero,zero,zero,zero,zero,zero,38,104,28,20,34,3
mmT-miR-1948-3p,zero,zero,zero,zero,zero,zero,3,15,4,2,4,zero
mmT-miR-1948-5p,zero,zero,zero,zero,zero,zero,2,7,2,1,zero,2
mmT-miR-1949,zero,zero,zero,zero,zero,zero,11,77,44,20,15,2
mmT-miR-1954,zero,zero,zero,zero,zero,zero,3,12,3,3,zero,1
mmT-miR-1955-3p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-1956,zero,zero,zero,zero,zero,zero,2,37,9,9,7,zero
mmT-miR-195a-3p,zero,zero,zero,zero,zero,zero,5,44,8,13,8,5
mmT-miR-195a-5p,zero,zero,zero,zero,zero,zero,1,19,4,1,1,1
mmT-miR-1960,zero,zero,zero,zero,zero,zero,2,26,1,1,6,zero
mmT-miR-1968-5p,zero,zero,zero,zero,zero,zero,4,13,5,zero,1,zero
mmT-miR-1969,zero,zero,zero,zero,zero,zero,1,9,1,1,7,1
mmT-miR-196a-5p,zero,zero,zero,zero,zero,zero,2,8,1,zero,5,1
mmT-miR-1970,zero,zero,zero,zero,zero,zero,1,8,zero,zero,zero,zero
mmT-miR-1970c-5p,zero,zero,zero,zero,zero,zero,3,4,3,2,zero,1
mmT-miR-1981-3p,zero,zero,zero,zero,zero,zero,15,120,27,14,12,3
mmT-miR-1983,zero,zero,zero,zero,zero,zero,9,74,23,11,22,8
mmT-miR-1a-3p,zero,zero,zero,zero,zero,zero,33,234,78,19,26,5
